no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,4819 ,4818 ,1 ,1924 ,2461 ,1 ,UFP,DPK
2 ,1160 ,1160 ,0 ,585 ,509 ,1 ,,
3 ,2043 ,1025 ,1018 ,674 ,293 ,0 ,,
4 ,633 ,383 ,250 ,254 ,113 ,0 ,,
5 ,441 ,290 ,151 ,192 ,64 ,0 ,,
6 ,2000 ,1998 ,2 ,814 ,1041 ,1 ,,
7 ,2422 ,999 ,1423 ,550 ,371 ,0 ,,
8 ,1657 ,866 ,791 ,544 ,279 ,0 ,,
9 ,925 ,505 ,420 ,309 ,162 ,0 ,,
10 ,466 ,245 ,221 ,164 ,71 ,0 ,,
11 ,2953 ,1505 ,1448 ,694 ,693 ,0 ,,
12 ,2121 ,959 ,1162 ,516 ,378 ,0 ,,
13 ,1090 ,1090 ,0 ,554 ,486 ,1 ,,
14 ,1697 ,813 ,884 ,494 ,277 ,0 ,,
15 ,1644 ,918 ,726 ,575 ,290 ,0 ,,
16 ,955 ,602 ,353 ,363 ,202 ,0 ,,
17 ,815 ,815 ,0 ,453 ,328 ,1 ,,
18 ,1879 ,977 ,902 ,617 ,289 ,0 ,,
19 ,1474 ,824 ,650 ,584 ,201 ,0 ,,
20 ,660 ,660 ,0 ,417 ,217 ,1 ,,
21 ,1187 ,627 ,560 ,458 ,137 ,0 ,,
22 ,718 ,429 ,289 ,296 ,114 ,0 ,,
23 ,676 ,676 ,0 ,362 ,292 ,1 ,,
24 ,1512 ,831 ,681 ,553 ,229 ,0 ,,
25 ,1199 ,1199 ,0 ,667 ,470 ,1 ,,
26 ,1693 ,834 ,859 ,592 ,194 ,0 ,,
27 ,1429 ,780 ,649 ,497 ,240 ,0 ,,
28 ,953 ,528 ,425 ,363 ,135 ,0 ,,
29 ,762 ,459 ,303 ,286 ,160 ,0 ,,
30 ,783 ,782 ,1 ,401 ,330 ,1 ,,
31 ,2040 ,1004 ,1036 ,644 ,283 ,0 ,,
32 ,925 ,522 ,403 ,393 ,104 ,0 ,,
33 ,442 ,293 ,149 ,187 ,88 ,0 ,,
34 ,874 ,874 ,0 ,399 ,423 ,1 ,,
35 ,815 ,419 ,396 ,265 ,134 ,0 ,,
36 ,728 ,397 ,331 ,256 ,125 ,0 ,,
37 ,609 ,326 ,283 ,174 ,118 ,0 ,,
38 ,634 ,394 ,240 ,267 ,106 ,0 ,,
39 ,3672 ,3672 ,0 ,1570 ,1874 ,1 ,,
40 ,2008 ,808 ,1200 ,477 ,283 ,0 ,,
41 ,2185 ,1141 ,1044 ,598 ,458 ,0 ,,
42 ,2224 ,1031 ,1193 ,580 ,383 ,0 ,,
43 ,1645 ,906 ,739 ,509 ,342 ,0 ,,
44 ,4427 ,1903 ,2524 ,923 ,834 ,0 ,,
45 ,1818 ,1040 ,778 ,588 ,396 ,0 ,,
46 ,3325 ,3324 ,1 ,1371 ,1736 ,1 ,,
47 ,2002 ,948 ,1054 ,584 ,290 ,0 ,,
48 ,3195 ,1638 ,1557 ,872 ,645 ,0 ,,
49 ,3427 ,1904 ,1523 ,846 ,934 ,0 ,,
50 ,2472 ,1100 ,1372 ,584 ,424 ,0 ,,
51 ,3468 ,3468 ,0 ,1468 ,1824 ,1 ,,
52 ,2437 ,1125 ,1312 ,569 ,482 ,0 ,,
53 ,3481 ,1422 ,2059 ,659 ,675 ,0 ,,
54 ,3764 ,1663 ,2101 ,834 ,727 ,0 ,,
