no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,12015 ,12008 ,7 ,7758 ,3897 ,1 ,DPK,UFP
2 ,3724 ,3722 ,2 ,2298 ,1350 ,1 ,,
3 ,3342 ,1526 ,1816 ,779 ,696 ,0 ,,
4 ,2677 ,1215 ,1462 ,606 ,577 ,0 ,,
5 ,2312 ,1182 ,1130 ,616 ,536 ,0 ,,
6 ,2851 ,1422 ,1429 ,740 ,633 ,0 ,,
7 ,3312 ,1826 ,1486 ,982 ,778 ,0 ,,
8 ,3739 ,3739 ,0 ,2229 ,1428 ,1 ,,
9 ,2563 ,1332 ,1231 ,656 ,639 ,0 ,,
10 ,1637 ,903 ,734 ,424 ,448 ,0 ,,
11 ,3623 ,2178 ,1445 ,1080 ,1051 ,0 ,,
12 ,2950 ,1675 ,1275 ,836 ,791 ,0 ,,
13 ,2609 ,1337 ,1272 ,683 ,625 ,0 ,,
14 ,2832 ,2832 ,0 ,1807 ,963 ,1 ,,
15 ,2539 ,998 ,1541 ,517 ,449 ,0 ,,
16 ,2571 ,1238 ,1333 ,678 ,516 ,0 ,,
17 ,2329 ,1073 ,1256 ,520 ,506 ,0 ,,
18 ,2735 ,1262 ,1473 ,623 ,599 ,0 ,,
19 ,4249 ,4249 ,0 ,2737 ,1436 ,1 ,,
20 ,3074 ,1614 ,1460 ,810 ,765 ,0 ,,
21 ,2601 ,1454 ,1147 ,767 ,658 ,0 ,,
22 ,3078 ,1736 ,1342 ,933 ,737 ,0 ,,
23 ,2137 ,1094 ,1043 ,582 ,491 ,0 ,,
24 ,3744 ,3743 ,1 ,2337 ,1321 ,1 ,,
25 ,2854 ,1467 ,1387 ,761 ,681 ,0 ,,
26 ,2919 ,1345 ,1574 ,675 ,626 ,0 ,,
27 ,3097 ,1456 ,1641 ,765 ,647 ,0 ,,
28 ,2975 ,2974 ,1 ,2022 ,907 ,1 ,,
29 ,1592 ,847 ,745 ,420 ,405 ,0 ,,
30 ,977 ,603 ,374 ,276 ,316 ,0 ,,
31 ,1326 ,789 ,537 ,455 ,310 ,0 ,,
32 ,4055 ,4055 ,0 ,2596 ,1387 ,1 ,,
33 ,2526 ,1127 ,1399 ,570 ,512 ,0 ,,
34 ,2397 ,1246 ,1151 ,632 ,579 ,0 ,,
35 ,2066 ,1082 ,984 ,537 ,518 ,0 ,,
36 ,1941 ,1000 ,941 ,484 ,487 ,0 ,,
37 ,2640 ,1651 ,989 ,884 ,724 ,0 ,,
38 ,2385 ,1450 ,935 ,759 ,668 ,0 ,,
39 ,5084 ,5080 ,4 ,3242 ,1753 ,1 ,,
40 ,2147 ,1192 ,955 ,630 ,530 ,0 ,,
41 ,1613 ,742 ,871 ,368 ,349 ,0 ,,
42 ,1599 ,614 ,985 ,272 ,326 ,0 ,,
43 ,1703 ,790 ,913 ,388 ,388 ,0 ,,
44 ,1683 ,991 ,692 ,513 ,452 ,0 ,,
45 ,2937 ,1896 ,1041 ,877 ,978 ,0 ,,
46 ,2657 ,1687 ,970 ,934 ,715 ,0 ,,
47 ,2540 ,1583 ,957 ,787 ,764 ,0 ,,
48 ,2691 ,1754 ,937 ,948 ,776 ,0 ,,
49 ,2923 ,1931 ,992 ,1081 ,811 ,0 ,,
50 ,2818 ,1871 ,947 ,1108 ,722 ,0 ,,
51 ,2001 ,1478 ,523 ,847 ,606 ,0 ,,
52 ,1918 ,1316 ,602 ,773 ,520 ,0 ,,
53 ,5838 ,5838 ,0 ,3759 ,1965 ,1 ,,
54 ,3145 ,1746 ,1399 ,948 ,731 ,0 ,,
55 ,2377 ,1200 ,1177 ,594 ,570 ,0 ,,
56 ,2528 ,1083 ,1445 ,510 ,533 ,0 ,,
57 ,2624 ,1555 ,1069 ,773 ,732 ,0 ,,
58 ,3029 ,1727 ,1302 ,908 ,776 ,0 ,,
59 ,2799 ,1432 ,1367 ,765 ,633 ,0 ,,
60 ,2622 ,1382 ,1240 ,741 ,603 ,0 ,,
61 ,3246 ,1808 ,1438 ,908 ,847 ,0 ,,
