no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,16223 ,16212 ,11 ,9388 ,6379 ,1 ,DPK,UFP
2 ,7672 ,7672 ,0 ,4881 ,2694 ,1 ,,
3 ,3531 ,1563 ,1968 ,768 ,748 ,0 ,,
4 ,2804 ,1510 ,1294 ,671 ,806 ,0 ,,
5 ,2502 ,1516 ,986 ,880 ,615 ,0 ,,
6 ,3129 ,1984 ,1145 ,1058 ,885 ,0 ,,
7 ,2817 ,1709 ,1108 ,885 ,798 ,0 ,,
8 ,2742 ,1857 ,885 ,766 ,1058 ,0 ,,
9 ,2617 ,1639 ,978 ,924 ,693 ,0 ,,
10 ,1923 ,1298 ,625 ,699 ,586 ,0 ,,
11 ,6306 ,6306 ,0 ,4229 ,2010 ,1 ,,
12 ,2365 ,1680 ,685 ,933 ,727 ,0 ,,
13 ,1869 ,975 ,894 ,489 ,466 ,0 ,,
14 ,2753 ,1955 ,798 ,975 ,953 ,0 ,,
15 ,2458 ,1416 ,1042 ,787 ,600 ,0 ,,
16 ,2951 ,1886 ,1065 ,1038 ,815 ,0 ,,
17 ,2645 ,1951 ,694 ,1058 ,869 ,0 ,,
18 ,2194 ,1421 ,773 ,842 ,559 ,0 ,,
19 ,3279 ,2162 ,1117 ,969 ,1172 ,0 ,,
20 ,2470 ,1683 ,787 ,953 ,711 ,0 ,,
21 ,6598 ,6596 ,2 ,4035 ,2515 ,1 ,,
22 ,1789 ,1086 ,703 ,578 ,497 ,0 ,,
23 ,2235 ,1487 ,748 ,778 ,694 ,0 ,,
24 ,3631 ,2452 ,1179 ,1092 ,1347 ,0 ,,
25 ,3065 ,2101 ,964 ,870 ,1200 ,0 ,,
26 ,3597 ,2247 ,1350 ,837 ,1387 ,0 ,,
27 ,3605 ,2321 ,1284 ,1152 ,1145 ,0 ,,
28 ,4045 ,2670 ,1375 ,1097 ,1551 ,0 ,,
29 ,2576 ,2576 ,0 ,1612 ,939 ,1 ,,
30 ,3163 ,1850 ,1313 ,896 ,911 ,0 ,,
31 ,2809 ,1672 ,1137 ,758 ,886 ,0 ,,
32 ,2653 ,1753 ,900 ,770 ,954 ,0 ,,
33 ,2640 ,1798 ,842 ,925 ,842 ,0 ,,
34 ,7692 ,7691 ,1 ,4819 ,2798 ,1 ,,
35 ,2979 ,1647 ,1332 ,781 ,832 ,0 ,,
36 ,1857 ,987 ,870 ,468 ,509 ,0 ,,
37 ,2969 ,2020 ,949 ,955 ,1037 ,0 ,,
38 ,3522 ,2213 ,1309 ,1246 ,921 ,0 ,,
39 ,2318 ,1572 ,746 ,710 ,828 ,0 ,,
40 ,1881 ,1097 ,784 ,582 ,502 ,0 ,,
41 ,3356 ,2249 ,1107 ,1004 ,1209 ,0 ,,
42 ,3566 ,2414 ,1152 ,886 ,1515 ,0 ,,
43 ,4086 ,2599 ,1487 ,1267 ,1319 ,0 ,,
44 ,6184 ,6183 ,1 ,3977 ,2127 ,1 ,,
45 ,2896 ,1880 ,1016 ,824 ,1031 ,0 ,,
46 ,3148 ,2125 ,1023 ,1078 ,1013 ,0 ,,
47 ,3010 ,2063 ,947 ,997 ,1039 ,0 ,,
48 ,2409 ,1591 ,818 ,593 ,981 ,0 ,,
49 ,2303 ,1453 ,850 ,682 ,753 ,0 ,,
50 ,3461 ,2396 ,1065 ,916 ,1457 ,0 ,,
51 ,3423 ,2174 ,1249 ,1004 ,1133 ,0 ,,
52 ,4132 ,2386 ,1746 ,1360 ,980 ,0 ,,
53 ,3449 ,2066 ,1383 ,1083 ,951 ,0 ,,
54 ,6874 ,6874 ,0 ,3146 ,3675 ,1 ,,
55 ,2919 ,2126 ,793 ,652 ,1448 ,0 ,,
56 ,3444 ,2477 ,967 ,672 ,1790 ,0 ,,
57 ,2316 ,1480 ,836 ,400 ,1056 ,0 ,,
58 ,3496 ,2114 ,1382 ,808 ,1283 ,0 ,,
59 ,3001 ,1937 ,1064 ,603 ,1312 ,0 ,,
60 ,3083 ,2109 ,974 ,679 ,1407 ,0 ,,
61 ,3127 ,2118 ,1009 ,820 ,1274 ,0 ,,
62 ,3969 ,2336 ,1633 ,814 ,1490 ,0 ,,
63 ,4618 ,3271 ,1347 ,1681 ,1551 ,0 ,,
