no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,9149 ,9141 ,8 ,4753 ,3305 ,1 ,DPK,SP
2,1853 ,1853 ,0 ,921 ,780 ,1 ,,
3,3612 ,2209 ,1403 ,1134 ,832 ,0 ,,
4,3729 ,2367 ,1362 ,1177 ,926 ,0 ,,
5,3986 ,2273 ,1713 ,1146 ,863 ,0 ,,
6,3224 ,2187 ,1037 ,1187 ,822 ,0 ,,
7,3717 ,2216 ,1501 ,1156 ,849 ,0 ,,
8,3432 ,1915 ,1517 ,839 ,910 ,0 ,,
9,2732 ,2732 ,0 ,1484 ,1046 ,1 ,,
10,3437 ,1664 ,1773 ,937 ,556 ,0 ,,
11,3411 ,1886 ,1525 ,932 ,765 ,0 ,,
12,3114 ,1746 ,1368 ,955 ,621 ,0 ,,
13,3242 ,1912 ,1330 ,1022 ,712 ,0 ,,
14,2928 ,1601 ,1327 ,877 ,582 ,0 ,,
15,3395 ,1726 ,1669 ,964 ,598 ,0 ,,
16,2989 ,1635 ,1354 ,876 ,592 ,0 ,,
17,1598 ,1598 ,0 ,780 ,683 ,1 ,,
18,2649 ,1592 ,1057 ,673 ,802 ,0 ,,
19,3450 ,1620 ,1830 ,877 ,595 ,0 ,,
20,3280 ,1577 ,1703 ,810 ,629 ,0 ,,
21,3382 ,1597 ,1785 ,911 ,554 ,0 ,,
22,3152 ,1793 ,1359 ,942 ,680 ,0 ,,
23,1814 ,1814 ,0 ,985 ,692 ,1 ,,
24,3186 ,1673 ,1513 ,873 ,641 ,0 ,,
25,2761 ,1300 ,1461 ,683 ,477 ,0 ,,
26,3552 ,1959 ,1593 ,1095 ,690 ,0 ,,
27,3047 ,1641 ,1406 ,958 ,523 ,0 ,,
28,3123 ,1634 ,1489 ,886 ,607 ,0 ,,
29,3461 ,2007 ,1454 ,1181 ,645 ,0 ,,
30,2952 ,2952 ,0 ,1489 ,1219 ,1 ,,
31,2902 ,1678 ,1224 ,801 ,743 ,0 ,,
32,3464 ,2272 ,1192 ,1082 ,1029 ,0 ,,
33,3658 ,2218 ,1440 ,1079 ,938 ,0 ,,
34,2998 ,2082 ,916 ,966 ,948 ,0 ,,
35,3292 ,1902 ,1390 ,902 ,843 ,0 ,,
36,2465 ,1648 ,817 ,762 ,739 ,0 ,,
37,3141 ,2007 ,1134 ,913 ,897 ,0 ,,
38,2796 ,1728 ,1068 ,840 ,734 ,0 ,,
39,3564 ,2532 ,1032 ,1326 ,885 ,0 ,,
40,1090 ,1090 ,0 ,581 ,422 ,1 ,,
41,898 ,368 ,530 ,193 ,147 ,0 ,,
42,932 ,469 ,463 ,232 ,201 ,0 ,,
43,2845 ,1811 ,1034 ,949 ,726 ,0 ,,
44,2634 ,1755 ,879 ,783 ,829 ,0 ,,
45,2572 ,1767 ,805 ,855 ,763 ,0 ,,
46,2410 ,1511 ,899 ,750 ,621 ,0 ,,
47,1876 ,1875 ,1 ,1054 ,666 ,1 ,,
48,4158 ,2297 ,1861 ,1265 ,798 ,0 ,,
49,3463 ,2063 ,1400 ,1120 ,770 ,0 ,,
50,3731 ,2278 ,1453 ,1295 ,749 ,0 ,,
51,3340 ,1880 ,1460 ,961 ,714 ,0 ,,
52,1665 ,1665 ,0 ,873 ,646 ,0 ,,
53,2806 ,1839 ,967 ,846 ,830 ,0 ,,
54,2391 ,1507 ,884 ,722 ,664 ,0 ,,
55,3716 ,2511 ,1205 ,1196 ,1088 ,0 ,,
56,3457 ,2373 ,1084 ,1330 ,842 ,0 ,,
57,2992 ,2051 ,941 ,1116 ,705 ,0 ,,
58,2093 ,1226 ,867 ,554 ,561 ,0 ,,
59,1504 ,1503 ,1 ,760 ,604 ,0 ,,
60,2886 ,1591 ,1295 ,834 ,629 ,0 ,,
61,2356 ,1551 ,805 ,809 ,587 ,0 ,,
62,3688 ,2017 ,1671 ,977 ,882 ,0 ,,
63,3137 ,2008 ,1129 ,1118 ,685 ,0 ,,
64,2733 ,1535 ,1198 ,635 ,749 ,0 ,,
65,2769 ,1536 ,1233 ,658 ,742 ,0 ,,
66,3043 ,2148 ,895 ,1165 ,778 ,0 ,,
67,2222 ,1426 ,796 ,689 ,613 ,0 ,,
