no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,10007,9994,13,6472,3169,1,DPK,UFP
2,3185,3184,1,2253,878,1,,
3,2253,1261,992,586,634,0,,
4,2077,1220,857,576,606,0,,
5,2146,1348,798,736,572,0,,
6,2549,2549,0,1502,1007,1,,
7,2169,1064,1105,485,536,0,,
8,3033,1839,1194,633,1139,0,,
9,745,745,0,489,243,1,,
10,1492,762,730,343,389,0,,
11,2147,2147,0,1405,705,1,,
12,2287,1260,1027,631,591,0,,
13,1931,1253,678,651,568,0,,
14,1485,917,568,414,476,0,,
15,3977,3977,0,2336,1581,1,,
16,2166,1177,989,484,661,0,,
17,3159,1868,1291,589,1235,0,,
18,1873,1272,601,525,714,0,,
19,1795,1206,589,590,574,0,,
20,1625,941,684,367,551,0,,
21,2453,2451,2,1569,829,1,,
22,1647,1146,501,537,571,0,,
23,2516,1496,1020,722,724,0,,
24,2572,2572,0,1667,858,1,,
25,1565,864,701,477,352,0,,
26,1576,830,746,460,331,0,,
27,2598,1908,690,802,1058,0,,
28,1589,1588,1,1030,527,1,,
29,2284,1221,1063,631,552,0,,
30,1212,1212,0,756,420,1,,
31,2283,854,1429,356,462,0,,
32,2672,1399,1273,697,649,0,,
33,1199,1199,0,773,394,1,,
34,1850,893,957,412,444,0,,
35,1550,765,785,427,314,0,,
36,2144,2144,0,1479,615,1,,
37,2310,1305,1005,740,517,0,,
38,2340,1136,1204,603,492,0,,
39,4338,4334,4,2888,1329,1,,
40,2242,1396,846,761,584,0,,
41,2243,1207,1036,616,547,0,,
42,1945,1139,806,531,562,0,,
43,1430,845,585,472,331,0,,
44,1366,754,612,398,314,0,,
45,1469,1469,0,1012,424,1,,
46,1100,394,706,208,167,0,,
47,2215,1240,975,737,466,0,,
48,1630,1630,0,1191,393,1,,
49,1606,755,851,469,265,0,,
50,2135,1234,901,709,486,0,,
51,1916,981,935,646,304,0,,
52,1806,1806,0,1241,531,1,,
53,1545,758,787,453,287,0,,
54,2455,1563,892,845,686,0,,
55,1502,1502,0,1007,457,1,,
56,2036,927,1109,493,408,0,,
57,1526,833,693,471,339,0,,
58,2127,2127,0,1495,586,1,,
59,1997,926,1071,532,352,0,,
60,2119,907,1212,542,337,0,,
61,1879,967,912,596,337,0,,
