no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,17950 ,17942 ,8 ,10803 ,4022 ,1,DPK,None
2,3731 ,3731 ,0 ,2281 ,934 ,1,,
3,3075 ,1877 ,1198 ,778 ,668 ,0,,
4,3033 ,1775 ,1258 ,850 ,510 ,0,,
5,3834 ,2079 ,1755 ,940 ,647 ,0,,
6,3602 ,1636 ,1966 ,799 ,464 ,0,,
7,3558 ,1817 ,1741 ,902 ,527 ,0,,
8,5963 ,5963 ,0 ,3493 ,1700 ,1,,
9,3025 ,1548 ,1477 ,661 ,522 ,0,,
10,3204 ,1692 ,1512 ,713 ,607 ,0,,
11,2807 ,1529 ,1278 ,625 ,587 ,0,,
12,2896 ,1971 ,925 ,934 ,709 ,0,,
13,2940 ,1847 ,1093 ,914 ,598 ,0,,
14,3252 ,1627 ,1625 ,787 ,483 ,0,,
15,3565 ,1668 ,1897 ,845 ,442 ,0,,
16,4609 ,4609 ,0 ,2730 ,1476 ,1,,
17,2906 ,1731 ,1175 ,824 ,610 ,0,,
18,3720 ,2226 ,1494 ,1051 ,832 ,0,,
19,2555 ,1881 ,674 ,792 ,870 ,0,,
20,2847 ,1985 ,862 ,823 ,893 ,0,,
21,2791 ,1788 ,1003 ,823 ,723 ,0,,
22,1718 ,779 ,939 ,386 ,266 ,0,,
23,2790 ,1594 ,1196 ,726 ,482 ,0,,
24,3471 ,3471 ,0 ,2117 ,925 ,1,,
25,3165 ,1638 ,1527 ,713 ,585 ,0,,
26,3144 ,1706 ,1438 ,822 ,538 ,0,,
27,3899 ,1760 ,2139 ,766 ,600 ,0,,
28,3610 ,3610 ,0 ,2061 ,1181 ,1,,
29,2732 ,1657 ,1075 ,550 ,762 ,0,,
30,3067 ,1566 ,1501 ,699 ,543 ,0,,
31,3457 ,2339 ,1118 ,1130 ,924 ,0,,
32,5403 ,5403 ,0 ,3230 ,1563 ,1,,
33,3107 ,1752 ,1355 ,857 ,550 ,0,,
34,3553 ,2048 ,1505 ,929 ,730 ,0,,
35,3787 ,2086 ,1701 ,1052 ,646 ,0,,
36,3518 ,1648 ,1870 ,771 ,568 ,0,,
37,2540 ,1349 ,1191 ,634 ,497 ,0,,
38,3343 ,2191 ,1152 ,884 ,997 ,0,,
39,5150 ,5150 ,0 ,3077 ,1431 ,1,,
40,3849 ,1903 ,1946 ,903 ,541 ,0,,
41,3786 ,1993 ,1793 ,947 ,615 ,0,,
42,3723 ,2078 ,1645 ,999 ,624 ,0,,
43,3809 ,2259 ,1550 ,1042 ,793 ,0,,
44,4474 ,2542 ,1932 ,1095 ,981 ,0,,
45,2866 ,1427 ,1439 ,569 ,636 ,0,,
46,3884 ,3884 ,0 ,2280 ,1127 ,1,,
47,3772 ,1950 ,1822 ,872 ,649 ,0,,
48,3255 ,1555 ,1700 ,684 ,592 ,0,,
49,3158 ,1784 ,1374 ,794 ,640 ,0,,
50,6091 ,6091 ,0 ,3634 ,1778 ,1,,
51,3025 ,1464 ,1561 ,651 ,498 ,0,,
52,3716 ,1838 ,1878 ,786 ,667 ,0,,
53,3411 ,1833 ,1578 ,810 ,633 ,0,,
54,3341 ,1809 ,1532 ,820 ,603 ,0,,
55,3342 ,2131 ,1211 ,972 ,818 ,0,,
56,3106 ,3106 ,0 ,1916 ,802 ,1,,
57,3100 ,1815 ,1285 ,840 ,587 ,0,,
58,2893 ,1756 ,1137 ,758 ,637 ,0,,
59,3221 ,1619 ,1602 ,720 ,504 ,0,,
60,3069 ,1660 ,1409 ,676 ,522 ,0,,
61,3345 ,3345 ,0 ,2171 ,626 ,1,,
62,4880 ,2014 ,2866 ,1056 ,453 ,0,,
63,4747 ,1828 ,2919 ,957 ,364 ,0,,
64,3434 ,1405 ,2029 ,705 ,302 ,0,,
65,3081 ,1487 ,1594 ,706 ,393 ,0,,
