"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",100,0,0
"Z[2]",99.42,0.58,0
"Z[3]",99.691,0.309,0
"Z[4]",99.973,0.027,0
"Z[5]",99.763,0.237,0
"Z[6]",96.974,3.026,0
"Z[7]",98.384,1.616,0
"Z[8]",100,0,0
"Z[9]",96.078,3.922,0
"Z[10]",97.259,2.741,0
"Z[11]",100,0,0
"Z[12]",98.61,1.39,0
"Z[13]",99.403,0.597,0
"Z[14]",99.146,0.854,0
"Z[15]",96.879,3.121,0
"Z[16]",100,0,0
"Z[17]",84.039,15.961,0
"Z[18]",99.377,0.623,0
"Z[19]",100,0,0
"Z[20]",99.853,0.147,0
"Z[21]",99.219,0.781,0
"Z[22]",100,0,0
"Z[23]",99.995,0.005,0
"Z[24]",96.085,3.915,0
"Z[25]",60.987,39.013,0
"Z[26]",84.209,15.791,0
"Z[27]",72.985,27.015,0
"Z[28]",54.147,45.853,0
"Z[29]",98.009,1.991,0
"Z[30]",100,0,0
"Z[31]",99.691,0.309,0
"Z[32]",98.853,1.147,0
"Z[33]",99.172,0.828,0
"Z[34]",100,0,0
"Z[35]",95.159,4.841,0
"Z[36]",96.969,3.031,0
"Z[37]",85.757,14.243,0
"Z[38]",100,0,0
"Z[39]",87.595,12.405,0
"Z[40]",75.075,24.925,0
"Z[41]",96.66,3.34,0
"Z[42]",79.455,20.545,0
"Z[43]",93.907,6.093,0
"Z[44]",91.144,8.856,0
"Z[45]",94.881,5.119,0
"Z[46]",84.777,15.223,0
"Z[47]",64.331,35.669,0
"Z[48]",53.543,46.457,0
"Z[49]",84.692,15.308,0
