"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",88.532,11.468,0
"Z[2]",95.985,4.015,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",91.305,8.695,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",86.013,13.987,0
"Z[19]",100,0,0
"Z[20]",70,30,0
"Z[21]",60,40,0
"Z[22]",100,0,0
"Z[23]",80,20,0
"Z[24]",74.797,25.203,0
"Z[25]",55.194,44.806,0
"Z[26]",75.818,24.182,0
"Z[27]",50,50,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",97.142,2.858,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",90,10,0
"Z[37]",100,0,0
"Z[38]",79.774,20.226,0
"Z[39]",70,30,0
"Z[40]",70,30,0
"Z[41]",100,0,0
"Z[42]",70,30,0
"Z[43]",70,30,0
"Z[44]",90,10,0
"Z[45]",90,10,0
"Z[46]",72.911,27.089,0
"Z[47]",80,20,0
"Z[48]",60,40,0
"Z[49]",51.315,48.685,0
"Z[50]",30,70,0
"Z[51]",52.604,47.396,0
"Z[52]",61.412,38.588,0
"Z[53]",80,20,0
"Z[54]",90,10,0
"Z[55]",48.616,51.384,0
"Z[56]",23.534,76.466,0
"Z[57]",60,40,0
