"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",59.884,40.116,0
"Z[2]",20.096,79.904,0
"Z[3]",99.731,0.269,0
"Z[4]",98.906,1.094,0
"Z[5]",98.451,1.549,0
"Z[6]",98.59,1.41,0
"Z[7]",98.287,1.713,0
"Z[8]",39.903,60.097,0
"Z[9]",99.977,0.023,0
"Z[10]",98.423,1.577,0
"Z[11]",99.692,0.308,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",99.64,0.36,0
"Z[15]",50.002,49.998,0
"Z[16]",96.182,3.818,0
"Z[17]",99.33,0.67,0
"Z[18]",99.992,0.008,0
"Z[19]",99.305,0.695,0
"Z[20]",99.862,0.138,0
"Z[21]",99.416,0.584,0
"Z[22]",48.735,51.265,0
"Z[23]",100,0,0
"Z[24]",99.081,0.919,0
"Z[25]",98.83,1.17,0
"Z[26]",99.93,0.07,0
"Z[27]",98.205,1.795,0
"Z[28]",90.207,9.793,0
"Z[29]",67.681,32.319,0
"Z[30]",99.716,0.284,0
"Z[31]",99.807,0.193,0
"Z[32]",99.229,0.771,0
"Z[33]",97.323,2.677,0
"Z[34]",99.845,0.155,0
"Z[35]",99.591,0.409,0
"Z[36]",100,0,0
"Z[37]",41.897,58.103,0
"Z[38]",99.988,0.012,0
"Z[39]",99.951,0.049,0
"Z[40]",99.84,0.16,0
"Z[41]",99.392,0.608,0
"Z[42]",99.863,0.137,0
"Z[43]",99.392,0.608,0
"Z[44]",18.757,81.243,0
"Z[45]",100,0,0
"Z[46]",98.6,1.4,0
"Z[47]",98.736,1.264,0
"Z[48]",99.43,0.57,0
"Z[49]",99.803,0.197,0
"Z[50]",99.632,0.368,0
