"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",71.621,28.379,0
"Z[2]",93.007,6.993,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",90,10,0
"Z[6]",100,0,0
"Z[7]",86.118,13.882,0
"Z[8]",80.976,19.024,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",92.001,7.999,0
"Z[12]",78.819,21.181,0
"Z[13]",95.996,4.004,0
"Z[14]",91.098,8.902,0
"Z[15]",93.536,6.464,0
"Z[16]",98.149,1.851,0
"Z[17]",90,10,0
"Z[18]",90,10,0
"Z[19]",91.069,8.931,0
"Z[20]",90,10,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",90,10,0
"Z[24]",90.641,9.359,0
"Z[25]",91.019,8.981,0
"Z[26]",90.072,9.928,0
"Z[27]",99.821,0.179,0
"Z[28]",98.337,1.663,0
"Z[29]",90.208,9.792,0
"Z[30]",90,10,0
"Z[31]",100,0,0
"Z[32]",99.431,0.569,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",90,10,0
"Z[36]",100,0,0
"Z[37]",93.868,6.132,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",85.069,14.931,0
"Z[46]",93.144,6.856,0
"Z[47]",90.002,9.998,0
"Z[48]",100,0,0
"Z[49]",90.367,9.633,0
"Z[50]",90,10,0
"Z[51]",91.527,8.473,0
"Z[52]",99.804,0.196,0
"Z[53]",100,0,0
"Z[54]",91.191,8.809,0
"Z[55]",69.167,20.833,10
"Z[56]",90,10,0
"Z[57]",90.001,9.999,0
"Z[58]",97.411,2.589,0
"Z[59]",91.579,8.421,0
"Z[60]",89.991,10.009,0
"Z[61]",91.335,8.665,0
"Z[62]",90.508,9.492,0
"Z[63]",88.382,11.618,0
"Z[64]",100,0,0
"Z[65]",100,0,0
"Z[66]",90.359,9.641,0
"Z[67]",92.223,7.777,0
"Z[68]",100,0,0
"Z[69]",90,10,0
