"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",99.52,0.48,0
"Z[2]",96.045,3.955,0
"Z[3]",90,10,0
"Z[4]",93.095,6.905,0
"Z[5]",90.1,9.9,0
"Z[6]",97.615,2.385,0
"Z[7]",100,0,0
"Z[8]",90,10,0
"Z[9]",99.96,0.04,0
"Z[10]",95.045,4.955,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",95.18,4.82,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",96.04,3.96,0
"Z[17]",94.095,5.905,0
"Z[18]",90,10,0
"Z[19]",90,10,0
"Z[20]",87.59,12.41,0
"Z[21]",80.04,19.96,0
"Z[22]",88.92,11.08,0
"Z[23]",94.725,5.275,0
"Z[24]",99.985,0.015,0
"Z[25]",94.44,5.56,0
"Z[26]",90,10,0
"Z[27]",100,0,0
"Z[28]",84.975,15.025,0
"Z[29]",93.97,6.03,0
"Z[30]",95.56,4.44,0
"Z[31]",100,0,0
"Z[32]",91.845,8.155,0
"Z[33]",92.815,7.185,0
"Z[34]",96.43,3.57,0
"Z[35]",99.555,0.445,0
"Z[36]",93.795,6.205,0
"Z[37]",98.64,1.36,0
"Z[38]",89.285,10.715,0
"Z[39]",92.325,7.675,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",90,10,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",97.13,2.87,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",93.285,6.715,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",100,0,0
